Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.48     0.00  1600002     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(int const&, unsigned long, unsigned long) const
  0.00      0.48     0.00  1600002     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00      0.48     0.00  1600002     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      0.48     0.00  1600002     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<int> >::__maxsize_helper<std::allocator<int> const>::value, unsigned long>::type std::allocator_traits<std::allocator<int> >::_S_max_size<std::allocator<int> const>(std::allocator<int> const&)
  0.00      0.48     0.00  1600002     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.48     0.00  1600002     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00      0.48     0.00  1599854     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.48     0.00  1599710     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.48     0.00  1599706     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>&& std::forward<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false> >(std::remove_reference<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false> >::type&)
  0.00      0.48     0.00  1599706     0.00     0.00  std::vector<int, std::allocator<int> >*& std::forward<std::vector<int, std::allocator<int> >*&>(std::remove_reference<std::vector<int, std::allocator<int> >*&>::type&)
  0.00      0.48     0.00  1599706     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.48     0.00  1165006     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.48     0.00  1165006     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true> const&)
  0.00      0.48     0.00  1036067     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, std::vector<int, std::allocator<int> >*>&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, std::vector<int, std::allocator<int> >*>&>(std::pair<int const, std::vector<int, std::allocator<int> >*>&) const
  0.00      0.48     0.00  1036067     0.00     0.00  int const& std::__pair_get<0ul>::__get<int const, std::vector<int, std::allocator<int> >*>(std::pair<int const, std::vector<int, std::allocator<int> >*>&)
  0.00      0.48     0.00  1036067     0.00     0.00  std::tuple_element<0ul, std::pair<int const, std::vector<int, std::allocator<int> >*> >::type& std::get<0ul, int const, std::vector<int, std::allocator<int> >*>(std::pair<int const, std::vector<int, std::allocator<int> >*>&)
  0.00      0.48     0.00   928792     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*) const
  0.00      0.48     0.00   928792     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, std::vector<int, std::allocator<int> >*> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, std::vector<int, std::allocator<int> >*> const&>(std::pair<int const, std::vector<int, std::allocator<int> >*> const&) const
  0.00      0.48     0.00   928792     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false> const*, unsigned long) const
  0.00      0.48     0.00   928792     0.00     0.00  std::tuple_element<0ul, std::pair<int const, std::vector<int, std::allocator<int> >*> >::type const& std::get<0ul, int const, std::vector<int, std::allocator<int> >*>(std::pair<int const, std::vector<int, std::allocator<int> >*> const&)
  0.00      0.48     0.00   928792     0.00     0.00  std::pair<int const, std::vector<int, std::allocator<int> >*> const& std::forward<std::pair<int const, std::vector<int, std::allocator<int> >*> const&>(std::remove_reference<std::pair<int const, std::vector<int, std::allocator<int> >*> const&>::type&)
  0.00      0.48     0.00   900000     0.00     0.00  RollingHash::madd(long long, long long)
  0.00      0.48     0.00   800001     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.48     0.00   800001     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
